trial,T3_trial_name,environment,location,state,year,latitude,longitude,planting_date,population,design,irrigated,notes
2015_S2C1F4_BZ15,S2C1_2015_Bozeman,BZD15,Bozeman,MT,2015,45.6732,-111.1541,20150424,All,AIBD,no,
2015_S2C1F4_HF15,S2C1_2015_IthacaHelfer,HNY15,Ithaca1,NY,2015,42.44556,-76.44095,20150504,All,AIBD,no,
2015_S2TP_BZ15,S2TP_2015_Bozeman,BZD15,Bozeman,MT,2015,45.6732,-111.1541,20150424,All,AIBD,no,
2015_S2TP_CD15,S2TP_2015_IthacaCaldwell,HNY15,Ithaca1,NY,2015,42.44556,-76.44095,20150504,All,AIBD,no,
2015_S2TP_HT15,S2TP_2015_Huntley,HTM15,Huntley,MT,2015,45.92,-108.25,20150409,S2TP,AIBD,yes,
2015_S2TP_KT15,S2TP_2015_IthacaKetola,KNY15,Ithaca2,NY,2015,42.47111,-76.43611,20150505,S2TP,AIBD,no,
2015_SPY4_S2C1F4_CR15,S2C1_2015_Crookston,CRM15,Crookston,MN,2015,47.818536,-96.613366,20150416,All,AIBD,no,
2015_SPY4_S2TP_CR15,S2TP_2015_Crookston,CRM15,Crookston,MN,2015,47.818536,-96.613366,20150416,All,AIBD,no,
2015_SPY4_S2TP_StP15,S2TP_2015_StPaul,STP15,St_Paul,MN,2015,44.990091,-93.18324,20150416,S2TP,AIBD,no,
S2_MET_AID16,S2MET_2016_Aberdeen,AID16,Aberdeen,ID,2016,42.95333,-112.82666,20160419,All,RCBD,yes,
S2_MET_ALV16,S2MET_2016_Alburgh,ALV16,Alburgh,VT,2016,45.011319,-73.308303,20160421,S2C1,RCBD,no,
S2_MET_AWI16,S2MET_2016_Arlington,AWI16,Arlington,WI,2016,43.32724,-89.334503,20160425,All,RCBD,no,
S2_MET_BCW16,S2MET_2016_Alma,BCW16,Buffalo_county,WI,2016,44.3359889,-91.8369194,20160415,All,RCBD,no,
S2_MET_BZD16,S2MET_2016_BozemanDryland,BZD16,Bozeman,MT,2016,45.6732,-111.1541,20160420,All,RCBD,no,
S2_MET_BZI16,S2MET_2016_BozemanIrrigated,BZI16,Bozeman,MT,2016,45.6732,-111.1541,20160422,All,RCBD,yes,
S2_MET_CHM16,S2MET_2016_Chatham,CHM16,Chatham,MI,2016,46.345576,-86.915621,20160505,All,RCBD,no,
S2_MET_CPE16,S2MET_2016_Charlottetown,CPE16,Charlottetown,PE,2016,46.345318,-63.17933,20160519,S2C1,RCBD,no,
S2_MET_CRM16,S2MET_2016_Crookston,CRM16,Crookston,MN,2016,47.818536,-96.613366,20160504,All,RCBD,no,
S2_MET_EON16,S2MET_2016_Elora,EON16,Elora,ON,2016,43.633333,-80.416667,20160512,All,RCBD,no,
S2_MET_FND16,S2MET_2016_Fargo,FND16,Fargo,ND,2016,46.923481,-96.809311,20160429,All,RCBD,no,
S2_MET_HNY16,S2MET_2016_IthacaHelfer,HNY16,Ithaca1,NY,2016,42.44556,-76.44095,20160420,All,RCBD,no,
S2_MET_KNY16,S2MET_2016_IthacaKetola,KNY16,Ithaca2,NY,2016,42.47111,-76.43611,20160428,All,RCBD,no,
S2_MET_MWI16,S2MET_2016_Madison,MWI16,Madison,WI,2016,43.070763,-89.541969,20160415,All,RCBD,no,
S2_MET_PQC16,S2MET_2016_Princeville,PQC16,Princeville,QC,2016,46.118065,-71.90757,20160511,All,RCBD,no,
S2_MET_SMT16,,SMT16,Sidney_MT,MT,2016,NA,NA,NA,All,RCBD,no,Lost
S2_MET_STP16,S2MET_2016_StPaul,STP16,St_Paul,MN,2016,44.990091,-93.18324,20160504,All,RCBD,no,
S2_MET_WLI16,S2MET_2016_WestLafayette,WLI16,West_lafayette,IN,2016,40.473004,-86.991187,20160322,All,RCBD,no,
S2_MET_AID17,S2MET_2017_Aberdeen,AID17,Aberdeen,ID,2017,42.95333,-112.82666,20170412,All,RCBD,yes,
S2_MET_ALV17,S2MET_2017_Alburgh,ALV17,Alburgh,VT,2017,45.011319,-73.308303,20170412,S2C1,RCBD,no,
S2_MET_AWI17,S2MET_2017_Arlington,AWI17,Arlington,WI,2017,43.32724,-89.334503,20170409,All,RCBD,no,
S2_MET_BCW17,,BCW17,Buffalo_county,WI,2017,44.3359889,-91.8369194,20170507,All,RCBD,no,Lost
S2_MET_BZD17,S2MET_2017_BozemanDryland,BZD17,Bozeman,MT,2017,45.6732,-111.1541,20170506,All,RCBD,no,
S2_MET_CHM17,S2MET_2017_Chatham,CHM17,Chatham,MI,2017,46.345576,-86.915621,20170504,All,RCBD,no,
S2_MET_COH17,S2MET_2017_Wooster,COH17,Wooster,OH,2017,40.772357,-81.916437,20170418,All,RCBD,no,
S2_MET_CPE17,S2MET_2017_Charlottetown,CPE17,Charlottetown,PE,2017,46.345318,-63.17933,20170525,S2C1,RCBD,no,
S2_MET_CRM17,S2MET_2017_Crookston,CRM17,Crookston,MN,2017,47.818536,-96.613366,20170509,All,RCBD,no,
S2_MET_EON17,S2MET_2017_Elora,EON17,Elora,ON,2017,43.633333,-80.416667,20170517,All,RCBD,no,
S2_MET_FND17,S2MET_2017_Fargo,FND17,Fargo,ND,2017,46.923481,-96.809311,20170412,All,RCBD,no,
S2_MET_GRO17,S2MET_2017_GrandRhondeValley,GRO17,Grande_rhonde_valley,OR,2017,45.5,-118,20170526,S2C1,RCBD,no,
S2_MET_HNY17,S2MET_2017_IthacaHelfer,HNY17,Ithaca1,NY,2017,42.44556,-76.44095,20170501,All,RCBD,no,
S2_MET_HTM17,S2MET_2017_Huntley,HTM17,Huntley,MT,2017,45.92,-108.25,20170411,All,RCBD,yes,
S2_MET_KNY17,S2MET_2017_IthacaKetola,KNY17,Ithaca2,NY,2017,42.47111,-76.43611,20170426,All,RCBD,no,
S2_MET_MWI17,S2MET_2017_Madison,MWI17,Madison,WI,2017,43.070763,-89.541969,20170408,All,RCBD,no,
